id,perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,sourcing_channel,residence_area_type,premium,renewal
18038,0.04,15705,167550,0,0,0,98.68,8,C,Urban,9600,1
11356,0.061,22273,179940,0,0,0,99.85,8,B,Rural,9600,1
39914,0.3,18988,212320,0,0,0,98.79,31,A,Urban,9600,1
43801,0.002,14614,653220,0,0,0,99.87,11,B,Urban,28500,1
78878,0.131,23739,250080,0,0,0,99.73,21,A,Urban,26400,1
87774,0.741,19359,81070,0,0,0,97.35,17,A,Rural,7500,1
1878,0.928,12415,105140,1,0,0,99.48,7,B,Urban,5700,1
49449,0.343,22643,42490,0,0,0,98.1,13,A,Urban,3300,1
71679,0.912,11323,111050,1,0,0,99.68,10,A,Rural,7500,1
31981,0.278,32864,337610,0,0,0,99.25,9,A,Urban,18000,1
109165,0.154,18625,187580,0,0,0,99.35,7,B,Urban,7500,1
96433,0.733,24105,268360,3,1,0,98.7,13,A,Rural,3300,1
109220,0.704,19359,540120,3,0,0,99.46,14,D,Rural,34800,1
42442,1,12780,55310,1,0,0,98.39,6,B,Rural,3300,0
38377,0.052,25557,75110,0,0,0,99.87,12,A,Urban,3300,1
110721,0.019,26289,105070,1,0,0,99.89,7,A,Urban,3300,1
82985,0.159,14247,262560,0,0,0,99.32,13,C,Urban,13800,1
81777,0.038,24829,331700,0,0,0,98.74,14,A,Urban,15900,1
33321,0.153,17531,335030,0,0,0,99.21,14,A,Urban,26400,1
110812,0.32,17163,229720,1,0,0,99.21,10,C,Rural,20100,1
110717,1,13877,112540,0,0,1,,6,A,Rural,3300,1
98321,0.03,17528,341840,0,0,0,99.35,10,A,Urban,20100,1
53796,0,23367,137460,0,0,0,99.06,16,A,Rural,7500,1
91250,0.347,14242,70100,0,0,0,99.68,5,A,Rural,1200,1
27644,0.138,13881,315110,0,0,0,99.4,12,A,Urban,18000,1
27982,0.122,25923,69760,0,0,0,97.94,8,A,Rural,5400,1
90273,0.585,21547,204270,1,0,0,99.46,7,B,Urban,9600,0
35885,0.596,10231,97610,0,0,0,99.24,10,A,Rural,11700,1
111368,0.003,25558,400140,0,0,0,99.41,12,A,Rural,26400,1
77474,0.772,12060,150040,0,0,0,97.93,9,A,Rural,3300,1
63861,0.031,26650,30120,0,0,0,99.84,8,A,Rural,5700,1
21064,0.478,20818,140300,0,0,0,98.86,7,A,Rural,7500,1
90918,0.843,14614,294550,0,0,0,98.87,16,C,Rural,18000,1
21213,0.941,18986,78100,0,0,0,97.06,11,A,Urban,9600,1
91901,0,27382,116520,0,0,0,97.45,13,A,Rural,5400,1
21891,0.999,16065,300100,2,4,0,98.42,14,D,Rural,20100,0
73853,0.058,9861,125100,0,0,0,99.84,6,A,Urban,7500,1
58139,0,30306,60800,0,0,0,,7,A,Urban,3300,1
17870,0.046,17529,213610,0,0,0,99.34,14,A,Urban,13800,1
107891,0.921,9131,77440,0,0,0,99.88,3,A,Rural,3300,1
12673,0.264,16439,168810,0,0,0,98.78,8,D,Urban,7500,1
84185,0.757,18622,55570,0,0,0,98.94,7,A,Urban,3300,1
69113,0,29572,109020,0,0,0,99.89,10,B,Rural,3300,1
86852,0.294,23369,138040,0,0,0,99.46,12,A,Rural,13800,1
47265,0.786,16065,342510,0,0,0,99.75,9,A,Rural,3300,1
64701,0.974,20452,247650,1,0,0,99.43,8,A,Urban,15900,1
33343,0.052,16438,100090,0,0,0,98.72,6,B,Rural,1200,1
50502,0.01,24463,450080,0,0,0,99.76,18,B,Urban,3300,1
19788,0.768,13876,99920,0,0,0,99.6,8,B,Urban,7500,1
105290,0.115,11694,687580,0,0,0,99.47,27,A,Urban,45300,1
57867,0.194,16432,75060,0,0,0,99.01,8,A,Urban,5400,1
29941,0.693,16067,105040,0,0,0,98.68,6,D,Urban,1200,1
76187,0.282,24468,72140,0,0,0,98.87,22,A,Rural,7500,1
99949,0.571,18624,277440,1,0,0,98.72,16,D,Urban,18000,1
52951,0.902,9860,137110,0,0,0,99.8,3,A,Urban,13800,1
90625,0,16805,180140,0,0,0,99.58,8,C,Urban,13800,1
23398,0.189,18264,379140,0,0,0,99.13,18,C,Urban,9600,1
15650,0.332,16436,129070,0,0,0,98.74,15,C,Urban,5400,1
41677,0.104,17898,195070,0,0,0,99.53,23,D,Urban,3300,1
64461,0.024,20089,210100,0,0,0,99.43,20,D,Rural,7500,1
44299,0.428,15700,195150,0,0,0,98.86,13,C,Rural,13800,1
63866,0.853,22273,203230,1,0,0,98.44,20,B,Rural,11700,1
36252,0.026,24830,175030,0,0,0,99.89,5,A,Rural,7500,1
21081,0.019,23004,224280,0,0,0,98.94,9,A,Urban,11700,1
97573,0,28478,120100,1,0,0,99.17,10,A,Urban,3300,1
56809,0.441,25925,210090,0,0,0,98.82,34,A,Urban,9600,1
44438,0.265,25922,71610,0,0,0,99.74,5,A,Rural,5700,1
20770,0.12,19722,197840,0,0,0,99.2,10,C,Rural,13800,1
67114,0.011,20088,150120,0,0,0,97.65,9,A,Urban,9600,1
2358,0.23,10593,135140,0,0,0,98.32,10,B,Urban,5700,1
85454,0.418,21175,215490,0,0,0,98.94,16,A,Rural,1200,1
27806,0.052,13510,60090,0,0,0,97.13,14,C,Urban,1200,1
9989,0.089,20084,381670,0,0,0,99.73,14,A,Rural,11700,1
110467,0.015,25192,420140,0,0,0,99.49,9,A,Rural,39000,1
36804,0.023,14249,238680,0,0,0,99.24,14,A,Urban,11700,1
88497,0.07,15344,270060,0,0,0,99.13,10,C,Rural,11700,1
56257,0.072,23371,231890,5,1,0,99.13,13,D,Rural,9600,0
21209,0.476,8406,24670,0,0,0,99.84,3,A,Urban,1200,1
93345,0.008,16073,387590,0,0,0,99.12,9,D,Rural,18000,1
51372,0.664,22639,182620,2,1,0,98.8,21,B,Rural,9600,0
18353,0.33,18987,346010,0,0,0,99.54,9,C,Urban,13800,1
11554,0.394,13510,94030,0,0,0,98.19,7,B,Urban,5400,1
94051,1,23371,394840,0,0,0,98.85,16,B,Rural,28500,1
28466,0.658,11695,155540,0,0,0,99.58,5,C,Urban,9600,1
101054,0.994,10957,84100,2,0,1,99.88,5,A,Rural,5700,1
1779,1,14249,132040,0,0,0,98.59,7,B,Rural,3300,1
47163,1,19350,123580,1,1,0,99.89,2,A,Urban,9600,1
49102,0.001,22274,150110,0,0,0,99.15,8,C,Rural,5400,1
104934,0.017,31760,114110,0,0,0,98.73,8,A,Urban,7500,1
70173,0.06,13515,225100,0,0,0,98.79,5,D,Urban,13800,1
40097,0.858,20450,246720,0,0,0,97.09,16,C,Urban,11700,0
86477,0,12786,122760,1,0,0,98.99,7,A,Rural,5400,1
8340,0.007,15344,97630,0,0,0,99.59,13,A,Urban,3300,1
34650,0.15,18627,420050,0,0,0,99.34,9,C,Urban,20100,1
54751,0.932,13877,171110,0,0,0,99.63,8,D,Urban,1200,1
62815,0,30308,153060,0,0,0,,4,A,Rural,11700,1
47049,0.016,27750,135070,0,0,0,99.47,7,A,Urban,1200,1
104740,0.771,13145,195050,0,0,0,98.44,12,D,Urban,18000,1
108095,0.031,27383,150150,0,0,0,99.26,11,A,Urban,11700,1
28005,0.068,19717,137590,0,0,0,98.89,7,A,Urban,9600,1
30270,0.018,13876,135090,0,0,0,98.6,11,A,Rural,7500,1
80780,0.511,16803,240060,1,0,0,98.98,7,C,Urban,9600,1
83110,0.102,16071,100340,0,0,0,98.67,7,C,Urban,7500,1
44642,0.01,23001,84210,0,0,0,99.64,9,A,Rural,7500,1
57369,0.15,10594,102110,0,0,0,99.59,14,A,Urban,3300,1
1339,0.01,29577,120130,0,0,0,99.88,20,B,Rural,5400,1
46193,1,14613,200050,1,0,0,98.88,8,D,Rural,7500,1
100393,0.966,17525,342070,0,0,1,99.09,9,D,Urban,22200,1
64920,0.019,17895,360040,0,0,0,99.07,8,C,Urban,24300,1
3960,0.019,28112,411610,0,0,0,99.89,13,A,Urban,30600,1
57351,0.245,18624,495100,0,0,0,99.65,13,A,Urban,7500,1
45958,0.411,13513,63830,0,0,0,98.74,7,A,Urban,3300,0
19932,0.139,15339,226410,0,0,0,98.61,7,B,Urban,20100,1
32081,0.674,14971,420130,3,0,0,98.9,18,C,Rural,36900,1
79596,0.116,26286,189350,0,0,0,99.7,7,A,Rural,9600,1
95620,0.294,17166,237540,0,0,0,99.34,9,A,Urban,9600,1
37061,0.009,18622,195040,0,0,0,98.9,22,C,Rural,18000,1
56488,0.522,25560,48510,0,0,0,99.22,10,A,Urban,3300,1
103397,0.037,25563,302460,0,0,0,99.67,12,A,Urban,15900,1
73299,0,17168,198360,0,0,0,98.17,18,A,Urban,11700,1
52278,0.001,24099,195070,0,0,0,99.04,20,B,Urban,13800,1
28908,1,24832,250450,1,0,0,99.26,6,A,Urban,7500,1
3758,0.089,24100,324080,0,0,0,98.76,13,A,Urban,13800,1
80955,0.386,18989,36110,0,0,0,94.62,10,B,Rural,1200,1
33962,0.568,19360,120080,1,0,0,98.96,12,B,Rural,7500,1
49075,0.022,14240,102150,0,0,0,99.86,11,A,Rural,9600,1
98577,0.05,11689,135110,2,0,1,97.96,6,D,Urban,5400,1
35215,0.009,19724,120790,0,0,0,99.58,12,A,Urban,3300,1
98793,0.323,18986,216130,0,0,0,99.37,10,B,Rural,1200,1
29973,0.073,16801,900060,0,0,0,99.7,4,E,Rural,36900,1
41240,1,16439,398290,0,1,0,99.89,3,D,Rural,34800,0
85803,0.066,21548,150150,0,0,0,99.59,11,B,Urban,7500,1
43876,0.042,31763,111110,0,0,0,98.69,5,A,Rural,5400,1
103916,0.16,11689,93800,0,0,0,99.67,8,A,Urban,1200,1
87605,1,18992,270030,0,0,0,99.38,6,A,Urban,11700,1
70945,0.03,21550,340110,0,0,0,99.39,11,C,Rural,15900,1
75966,0.009,20813,406600,0,0,0,99.07,18,B,Rural,28500,1
2339,0.613,23001,72120,0,0,0,99.73,10,A,Urban,5400,0
88515,0.984,22636,695300,0,0,0,98.79,14,B,Urban,43200,1
76267,0.04,23007,120030,0,0,0,99.88,10,A,Urban,3300,1
102780,0.057,13520,87030,0,0,0,98.25,8,C,Urban,7500,1
451,1,12060,61940,0,0,0,98.85,7,A,Rural,3300,1
11811,0.241,18985,108050,0,0,0,98.66,10,A,Rural,11700,1
14119,0.068,26651,298030,1,0,0,98.98,16,A,Rural,22200,1
44584,0.209,23000,175050,0,0,0,98.99,14,A,Rural,9600,0
102385,0.101,24105,120060,0,0,0,99.55,8,B,Rural,3300,1
83193,0.1,17528,559510,0,0,0,99.55,11,D,Urban,3300,1
56284,0.037,22277,325130,0,0,0,99.48,12,A,Urban,3300,1
17186,0.335,16069,171100,0,0,0,99.76,7,A,Rural,13800,1
112782,0.785,23010,240140,0,0,0,98.86,12,A,Urban,18000,1
10114,0.578,12420,102100,0,0,0,98.87,6,A,Urban,7500,1
80155,0.347,21180,90060,4,0,0,99.04,17,B,Rural,3300,1
24395,0.052,20086,260440,0,0,0,99.14,9,B,Urban,11700,1
56585,0.044,20812,120080,0,0,0,98.93,8,B,Rural,13800,1
110933,0.432,20816,390510,0,0,0,98.99,24,B,Urban,20100,1
4014,1,9866,93780,0,0,0,99.55,3,D,Rural,11700,1
85690,0.05,23003,290060,0,0,0,99.49,8,B,Urban,1200,1
56715,0.545,24103,204100,0,0,0,98.99,9,A,Urban,9600,1
82862,0.36,16075,270050,1,0,0,98.76,19,C,Urban,1200,1
37257,0.255,20449,255110,0,0,0,98.84,17,D,Urban,1200,1
87067,0.895,15705,54040,2,0,0,97.37,10,A,Rural,5700,1
68655,0.363,22643,110300,0,0,0,98.83,10,C,Urban,5400,1
113583,0.029,15704,125050,0,0,0,99.53,8,D,Urban,11700,1
54251,0.451,13876,177030,0,0,0,99.54,11,A,Rural,22200,1
60002,1,17892,55080,0,1,0,,2,A,Rural,1200,1
32690,0.08,20085,52580,0,0,0,98.79,7,C,Urban,5400,1
67333,0.318,12058,160070,0,0,0,98.95,9,A,Urban,18000,1
88725,0.9,11325,110800,4,0,0,98.48,14,A,Rural,5400,1
66702,0.021,24834,76390,0,0,0,99.84,8,B,Urban,1200,1
6711,0.033,10956,67600,0,0,0,99.57,7,A,Urban,1200,1
57400,0.034,18621,365390,0,0,0,99.13,10,B,Rural,15900,1
65196,0.006,29939,99050,0,0,0,99.89,6,B,Urban,7500,1
61178,0.757,17535,57330,0,0,0,98.63,6,D,Rural,5400,1
44967,0.49,17170,179490,0,1,0,99.32,11,B,Rural,11700,1
90998,1,21906,200080,0,0,0,99.74,9,A,Rural,18000,1
6196,0.016,24460,120240,0,0,0,99.25,17,A,Urban,5400,1
44076,0.289,20088,440080,3,0,0,99.1,21,B,Urban,24300,0
71600,0.162,28841,134350,0,0,0,99.14,16,A,Rural,13800,1
85974,0.491,28484,105120,0,0,0,99.59,10,A,Urban,5400,1
82622,0.024,22275,164620,0,0,0,99.35,9,A,Urban,11700,1
54089,0.017,31398,534030,0,0,0,99.82,8,A,Urban,34800,1
4723,0.212,13875,135080,0,0,0,99.47,9,A,Urban,7500,1
105950,0,17895,210110,0,0,0,99.01,7,C,Urban,11700,1
11009,0.023,24828,192030,0,0,0,99.74,17,B,Urban,5700,1
13054,0.143,15705,196420,0,0,0,98.57,23,C,Urban,11700,1
54389,0.003,18993,153530,0,0,0,,6,A,Rural,11700,1
107137,0.002,19357,220590,0,0,0,,9,B,Urban,9600,1
94453,0,17530,112920,0,0,0,99.3,6,B,Urban,11700,1
108525,1,24825,60140,0,0,0,99.71,2,A,Rural,3300,1
86238,0.126,23368,162610,0,0,0,99.57,5,B,Rural,5400,1
91448,0.124,18989,480150,0,0,0,98.76,14,D,Urban,39000,1
80010,1,16803,188620,0,0,0,,2,C,Urban,11700,1
15674,0.418,12425,136600,0,0,0,98.79,14,B,Urban,9600,1
62001,0.094,18630,306130,0,0,0,99.88,6,D,Rural,20100,1
108837,0.146,15709,102850,0,0,0,98.03,10,D,Urban,3300,1
52946,0.569,11324,63080,0,0,0,96.75,9,A,Rural,3300,1
64303,0.634,12422,141630,1,0,0,99.42,9,C,Urban,9600,1
48772,0.691,18622,280600,3,2,1,98.8,15,D,Urban,18000,1
22017,0.648,12057,264080,0,0,0,99.52,8,A,Urban,18000,1
14630,0.243,15338,180070,1,0,0,99.82,13,A,Urban,13800,1
35054,0.725,19350,78130,0,0,0,99.37,10,D,Urban,5400,1
21363,0.428,24468,144120,0,0,0,98.37,18,A,Rural,11700,1
57385,0.087,24103,250090,0,0,0,99.81,13,A,Rural,7500,1
107653,0.4,15702,160500,0,0,0,98.91,19,A,Rural,5400,1
56694,0.062,28841,155070,0,0,0,99.23,11,A,Rural,9600,1
48254,0.021,13519,67620,0,0,0,97.36,8,A,Urban,1200,1
40753,1,17528,140080,0,0,0,98.82,6,B,Urban,5400,1
53370,0.442,14977,167540,0,0,0,97.74,16,D,Urban,13800,1
42506,0.101,27382,141890,0,0,0,99.37,17,B,Urban,13800,1
4978,0.322,12781,165100,0,0,0,98.24,8,B,Rural,7500,1
73230,0.091,15709,177770,1,0,0,98.07,17,C,Urban,11700,1
110840,0.466,16074,189060,1,1,0,98.83,12,C,Rural,9600,1
47114,0.249,27024,462120,2,0,0,99.37,10,B,Urban,30600,1
10982,0.578,21550,367530,0,0,0,99.06,15,A,Urban,26400,1
82229,0.041,25200,138040,0,0,0,99.35,11,A,Rural,9600,1
82160,0.029,24104,96080,0,0,0,99.87,12,A,Urban,3300,1
11234,0,27381,80010,0,0,0,,9,A,Rural,3300,1
33912,0.003,17167,190040,2,0,0,98.71,19,C,Urban,7500,1
83275,0.007,29941,143400,0,0,0,99.13,8,A,Urban,9600,1
47540,0.316,18986,129040,0,0,0,99.37,6,A,Urban,5400,1
20425,0.243,9862,76910,0,0,0,99.37,5,A,Rural,7500,1
48546,1,23374,88570,0,0,0,99.33,7,A,Urban,7500,1
48680,0.02,24825,117600,0,0,0,99.3,14,A,Urban,7500,1
16189,1,19354,60100,0,0,0,97.73,4,A,Rural,1200,1
38760,0.034,9500,36060,1,0,1,99.85,3,A,Rural,1200,1
90053,0.004,24463,225060,0,0,0,99.45,9,B,Urban,24300,1
101487,0.373,17894,153190,0,0,0,99.85,5,D,Rural,9600,1
77215,0,17168,306790,0,0,0,99.46,5,B,Rural,7500,1
80758,0,16073,278540,0,0,0,99.1,6,C,Rural,15900,1
59465,1,13515,165450,0,0,0,99.29,5,B,Urban,11700,1
21188,0.301,20453,120030,0,0,0,99.8,5,A,Urban,5400,1
97597,0.507,14971,231190,0,0,0,98.56,12,C,Urban,11700,1
5637,0.822,14241,174090,2,2,0,98.88,16,B,Rural,3300,1
27762,0.093,19352,300140,0,0,0,99.24,15,C,Rural,15900,1
105357,0.329,11685,180060,0,0,0,99.53,10,B,Rural,7500,1
102990,0.006,20084,141960,0,0,0,99.39,9,B,Urban,9600,1
81380,0.785,9495,54040,1,1,0,99.86,4,A,Urban,3300,1
24075,0.031,23367,120050,0,0,0,99.88,6,A,Rural,3300,1
68598,0.006,18259,120040,0,0,0,98.25,14,A,Urban,7500,1
23748,0.054,20813,200120,0,0,0,99,33,C,Urban,5400,1
73508,0.002,12051,240650,0,0,0,99.76,6,A,Urban,11700,1
43603,0,15706,463630,0,0,0,99.25,12,E,Rural,3300,1
82290,0.074,14980,276060,0,0,0,99.54,7,C,Urban,11700,1
25093,0.874,14611,230150,0,0,0,99.1,8,C,Urban,7500,0
70697,0.062,18988,52050,0,0,0,99.3,6,A,Rural,5700,1
85557,0.084,19723,191350,0,0,0,99.34,6,C,Rural,15900,1
40638,1,12057,150140,1,0,0,99.65,4,A,Rural,3300,1
24210,0.002,14614,237140,0,0,0,,4,C,Rural,7500,1
17808,0.122,27749,203550,0,0,0,99.47,13,A,Urban,1200,1
34775,0.072,22636,270150,0,0,0,99.28,9,A,Rural,28500,1
33859,0.054,17897,225120,0,0,0,98.64,9,D,Urban,18000,1
91289,0.158,17161,127570,0,0,0,98.5,9,B,Urban,5400,1
38383,0.34,16797,228330,0,0,0,98.64,13,C,Urban,20100,1
109243,0.012,13145,105070,0,0,0,99.89,8,A,Rural,7500,1
100873,0,15336,120070,0,0,0,97.05,10,B,Urban,5400,1
9997,0.158,10229,28910,0,0,0,99.75,7,A,Rural,1200,1
26841,0.893,17533,277590,4,0,2,99.62,13,C,Rural,11700,1
16583,0,20446,276140,0,0,0,99.58,5,B,Urban,11700,1
99250,0.34,21913,174080,0,0,0,99.83,5,A,Urban,20100,1
103095,0.005,14977,249070,0,0,0,99.05,9,C,Urban,15900,1
70035,1,17893,84050,0,0,0,98.24,7,A,Rural,5400,0
83689,0.024,16796,259840,0,0,0,99.13,12,C,Rural,18000,1
87087,0.105,15700,156370,0,0,0,99.33,13,A,Urban,5400,1
94530,0.341,12782,288090,0,0,0,99.54,7,C,Urban,13800,1
51071,0.171,13147,228050,0,0,0,99.74,6,A,Urban,15900,1
54115,0.557,15710,150090,1,0,0,99.73,8,D,Rural,11700,1
76611,0.828,13155,330050,1,0,0,98.49,6,A,Urban,20100,1
41219,0.409,18621,60130,1,0,0,97.24,15,A,Urban,5700,1
59204,0.908,19350,147080,1,0,0,98.38,10,C,Urban,9600,1
92682,0,29576,105700,0,0,0,,6,B,Urban,5400,1
92851,0.352,17898,390140,0,0,0,99.11,17,D,Urban,47400,1
69176,0.143,8774,96130,3,0,1,99.39,5,C,Rural,1200,0
52374,0.495,20447,225080,1,1,0,99.35,9,B,Rural,20100,1
21513,0.056,16070,147740,0,0,0,99.88,3,C,Urban,13800,1
31823,0.978,14976,102050,0,0,0,99.24,4,C,Urban,13800,1
20984,0.174,16801,540070,0,0,0,99.73,12,B,Urban,34800,1
110614,0.995,17167,115840,0,0,0,98.39,9,B,Rural,5400,1
24830,0.051,17896,99060,0,0,0,99.52,9,A,Rural,5400,1
91233,0.363,12787,112340,0,0,0,98.83,15,A,Rural,7500,1
35624,0.097,26290,117620,0,0,0,99.87,3,A,Urban,7500,1
111075,0.109,16430,234120,2,0,0,98.59,15,B,Urban,18000,1
45499,0.984,12052,126120,0,1,0,99.55,9,A,Urban,7500,0
19289,0.64,14248,150060,0,0,0,98.8,14,A,Urban,7500,1
83317,0.169,23008,174070,0,0,0,99.72,6,B,Urban,15900,1
68908,0.29,24464,275110,0,0,0,99.15,18,B,Urban,13800,1
17496,0.078,21544,229450,0,0,0,98.23,27,A,Rural,18000,1
62628,1,9131,33140,0,0,0,99.87,3,A,Urban,1200,1
8215,0.082,12050,196380,1,0,0,99.61,9,A,Urban,9600,1
109190,0.108,10600,120110,0,0,0,98.77,10,A,Rural,5400,1
60192,0.034,10594,155130,0,0,0,98.86,9,A,Rural,1200,1
71409,0.041,23000,195130,0,0,0,99.5,9,A,Urban,13800,1
78280,0.023,25928,36150,0,0,0,99.76,13,A,Urban,5400,1
57563,0.202,27380,30070,0,0,0,99.09,8,A,Urban,5700,1
103273,1,8775,118860,0,0,0,99.56,4,A,Urban,5400,1
111945,0.016,27386,224290,0,0,0,99.52,13,A,Urban,18000,1
75697,1,12419,152110,1,0,0,99.25,6,D,Rural,11700,0
13084,0.933,17160,129070,2,0,0,98.16,13,A,Urban,9600,0
100462,0.412,13153,294060,0,0,0,99.88,5,A,Rural,11700,1
66237,0.328,21175,126050,0,0,0,97.88,16,A,Urban,11700,1
11650,0.544,11695,250070,0,0,0,99.72,8,B,Rural,11700,1
25684,0.775,22280,294410,0,0,0,97.1,35,B,Urban,15900,1
50796,0,13153,170870,0,0,0,98.98,11,A,Rural,7500,1
81603,0.091,17167,169770,0,0,0,99.61,6,C,Rural,5400,1
97104,0.001,21544,429050,0,0,0,99.5,13,B,Urban,30600,1
80478,0.317,23003,540030,0,0,0,99.33,12,B,Urban,22200,1
13233,0.072,23009,225030,0,1,0,99.49,17,A,Urban,18000,1
42337,0.961,12056,167950,2,0,1,99.37,10,B,Urban,7500,1
81421,0.041,19353,131440,0,0,0,99.86,10,A,Urban,3300,1
50271,0.111,23007,175130,0,0,0,99.04,20,A,Urban,5400,1
22789,0.161,21546,165100,0,0,0,99.08,11,B,Rural,7500,1
53886,0.378,20817,105050,0,0,0,99.41,8,A,Urban,1200,1
15518,0,27387,101730,0,0,0,,5,A,Urban,3300,1
85516,0.87,24465,88980,0,0,0,99.48,4,A,Urban,9600,1
69217,0.974,10231,66120,0,0,0,98.91,9,A,Rural,5400,1
76139,0.082,20818,157560,2,0,0,98.85,16,C,Urban,7500,1
21991,0.22,21908,69110,0,0,0,98.4,6,A,Rural,5400,1
36994,0.208,20088,315120,0,0,0,99.23,25,A,Urban,9600,1
14905,0.013,22641,277110,0,0,0,,6,D,Urban,36900,1
85997,0.006,20088,156900,0,0,0,99.1,16,D,Urban,7500,1
74981,0.676,20080,30070,0,0,0,99.64,5,A,Urban,1200,1
56078,0.538,28114,97620,0,0,0,99.28,9,B,Urban,7500,1
6045,0.127,16433,92910,0,0,0,99.83,6,C,Rural,7500,1
89250,0.032,22639,155030,1,0,0,99.17,10,C,Urban,7500,1
63823,0.149,21180,256540,1,0,0,99.41,16,A,Urban,13800,1
28542,0,16067,163180,0,1,0,99.54,4,C,Urban,11700,1
13804,0.218,13148,212520,0,0,0,99.08,9,C,Rural,18000,1
9209,0.559,19357,87080,0,0,0,97.74,10,A,Urban,7500,1
16461,0,21910,770040,0,0,1,99.25,12,B,Urban,55800,1
30139,0.098,17532,118890,0,0,0,99.75,4,A,Urban,7500,1
68418,0.455,29214,232130,0,0,0,99.13,11,A,Urban,9600,1
65777,0.018,21183,300030,0,0,0,99.89,12,A,Urban,15900,1
15439,0.723,20088,57720,0,0,0,97.46,8,A,Urban,3300,1
23666,0.752,16800,224990,0,0,0,99.16,12,A,Rural,5400,1
19031,0.028,18990,273490,0,0,0,99.18,22,C,Rural,26400,1
29826,0.034,11693,129080,0,0,1,99.71,7,A,Urban,3300,1
53596,0.593,16430,410130,0,0,0,99.33,4,B,Rural,9600,1
40349,0.009,21543,150050,0,0,0,94.08,24,A,Rural,9600,1
1810,0.121,18262,140230,0,0,0,99.26,19,C,Urban,5400,1
91608,0.022,19350,115090,0,0,0,99.78,6,A,Urban,9600,1
6897,0.004,25561,182490,0,0,0,98.95,17,A,Urban,1200,1
51296,0.792,17160,147130,0,0,0,98.54,12,B,Urban,7500,0
61580,0.165,14241,339650,1,0,0,99.4,10,C,Urban,36900,1
64318,0.317,17165,54070,0,0,0,95.67,9,B,Rural,7500,1
1496,0.018,21914,120040,0,0,0,98.36,14,A,Urban,11700,1
59754,0.036,25556,96070,0,0,0,98.9,8,A,Urban,5400,1
108233,0.011,24096,105410,0,0,0,99.88,13,A,Urban,9600,1
72340,0.035,14977,195060,0,0,0,99.87,14,A,Urban,22200,1
90182,0.051,15710,125020,0,0,0,99.19,8,B,Urban,5400,1
80422,0,23365,315060,0,0,0,98.7,19,A,Urban,15900,1
54145,0.57,10955,78120,0,0,0,98.6,6,A,Urban,5400,1
91502,0.047,23010,193970,0,0,0,99.25,20,B,Rural,9600,1
67667,0.154,20453,1402960,0,0,0,99.82,8,D,Urban,60000,1
70058,0.079,13880,81120,0,0,0,99.42,7,D,Urban,7500,1
51748,0.978,18625,112610,2,0,1,97.43,13,A,Rural,1200,0
61497,0.864,17535,60100,2,0,0,93.96,16,A,Urban,5400,1
95485,0.054,27015,52250,0,0,0,98.92,8,A,Rural,1200,1
113582,0.117,18985,156560,0,0,0,98.76,6,A,Rural,7500,1
22772,0.02,25927,90050,0,0,0,99.15,30,A,Urban,3300,1
69436,0.049,18994,261380,0,0,0,99.02,23,B,Urban,13800,1
82578,0,14248,360060,0,0,0,99.74,7,D,Rural,32700,1
66841,0.034,19718,241620,0,0,0,99.52,12,C,Rural,24300,1
16928,0.942,23003,252070,1,0,0,98.27,14,A,Urban,3300,1
103692,0.421,17894,215090,0,0,0,98.99,21,C,Urban,1200,1
107010,0.897,18263,64510,2,0,0,98.36,9,C,Rural,3300,1
78417,0.299,26293,195090,0,0,0,99.31,13,A,Urban,11700,1
76230,1,23009,125010,0,0,0,98.47,10,B,Urban,9600,1
70269,0.423,22274,232640,0,0,0,98.73,18,C,Urban,13800,1
49728,0.069,19350,205640,0,0,0,98.39,10,D,Rural,5400,1
84508,0.168,21175,255110,0,0,0,99.05,11,A,Rural,22200,1
22329,0.278,9863,96130,0,0,0,99.64,8,A,Urban,5400,1
17859,0.001,17161,337620,0,0,0,99.77,15,A,Rural,26400,1
100434,0.042,20082,162630,0,0,0,98.93,11,B,Urban,3300,1
107842,0.084,13511,122130,0,0,0,99.86,9,A,Rural,1200,1
70393,0.475,21550,300030,0,0,0,98.09,21,B,Urban,9600,1
7096,0.311,9501,168080,0,0,0,99.63,11,A,Rural,9600,1
5159,0.314,26652,184610,0,0,0,98.94,15,B,Urban,11700,1
47682,0.794,20812,139330,0,0,0,99.07,7,A,Urban,1200,1
41792,1,17168,216060,1,0,0,99.24,12,D,Rural,22200,1
68707,0.981,15336,149690,3,1,0,99.07,7,B,Rural,7500,0
80715,0.57,14608,242500,0,0,0,99.38,22,B,Rural,24300,1
101617,0.222,12053,130530,0,0,0,99.53,17,C,Urban,5400,1
28087,0.165,24468,165030,0,0,0,99.77,12,B,Rural,13800,1
28064,0.006,24468,148720,0,0,0,99.48,6,B,Rural,9600,1
104915,0.533,13877,150110,0,0,0,98.33,9,B,Rural,7500,1
96270,0.062,16072,315090,0,0,0,99.3,13,C,Rural,11700,1
32422,0.084,20084,312570,0,0,0,99.24,11,C,Rural,18000,1
36069,0.493,11324,87410,0,0,0,98.8,17,B,Rural,7500,1
6326,0.001,26650,55230,0,0,0,,10,A,Urban,3300,1
56372,0.472,30300,165170,0,1,0,99.08,13,B,Rural,13800,1
